branch_name	commit_hash	branch_type	status
chore/pre_impl_readiness_sweep	7f7786a97ff097a38f7abfc38a88fa4dad0895b3	chore	existing
feat/TC-100-bootstrap-repo	f4b545c1889ed72d1b325219ed9a06c5de9fe1d7	feat	ready
feat/TC-200-schemas-and-io	2f24053a62fec9750bbb6ab20fdc498bf0234568	feat	ready
feat/TC-201-emergency-mode	ffbab4fad596a06ce52cf1790c9dedc518b989d1	feat	ready
feat/TC-250-shared-libs-governance	af850f471b2c0ff1fa891fb0e73353bd14d7340a	feat	ready
feat/TC-300-orchestrator-langgraph	10672edde20dd3118a063ea4f3cf78dc93857b25	feat	ready
feat/TC-400-repo-scout	33673f06b11347d8f12e41a8432662689517a083	feat	ready
feat/TC-401-clone-resolve-shas	be1f101237addfa881a210cac32ed6dd01132b6b	feat	ready
feat/TC-402-fingerprint	cd8086b524a4858665243ee2aa51257313ccc735	feat	ready
feat/TC-403-discover-docs	e0a217e80346b3237446a46eabcc464867d57edb	feat	ready
feat/TC-404-discover-examples	9b146f420366785a786d5a700755256762fb785d	feat	ready
feat/TC-410-facts-builder	7962c7bc7ba6f800bef6bd851b7a4fac0c68d51e	feat	ready
feat/TC-411-extract-claims	dba509fb7af8251c19003c08b4a286fa4a4ea609	feat	ready
feat/TC-412-map-evidence	4428fe084d908a20fb03e09614e9ece046b4c723	feat	ready
feat/TC-413-detect-contradictions	cdb94da55883a29d0d2741d4daa779257574346f	feat	ready
feat/TC-420-snippet-curator	b21a289b704e54d777eebfd4371f840929a950b0	feat	ready
feat/TC-421-extract-doc-snippets	73d56eaf76b2d44f7aef32211f65cc47e7c0ed4d	feat	ready
feat/TC-422-extract-code-snippets	cdf0da9750158a6d514fbad018430b39662294d5	feat	ready
feat/TC-430-ia-planner	feb34adec20b6bc00a0f6d17f93cb3dae56a43bc	feat	ready
feat/TC-440-section-writer	a039d4a13bec9d8c315ed376a3e12818b3db788e	feat	ready
feat/TC-450-linker-and-patcher	111c41adf705a7327ce2762b99a3f259309c47e6	feat	ready
feat/TC-460-validator	27a683c40fab694ef771e720821c73a4a511d935	feat	ready
feat/TC-470-fixer	eda48de363b23050d5763af98c7c6b61c8bcef1e	feat	ready
feat/TC-480-pr-manager	958da5a56859350765857bcaa26db22e087d08de	feat	ready
feat/TC-500-clients-services	8d528406af7da4310f30419175fa782aeb34017f	feat	ready
feat/TC-510-mcp-server-setup	2790dfa1f3a995bf84cc9a62f0846cc076ad8fd1	feat	ready
feat/TC-511-mcp-tool-registration	2ddaf759e95f7cbf6aed925fe1c495a0f42bb352	feat	ready
feat/TC-512-mcp-tool-handlers	7a54d2b08d8da4a1c540679f51fae97647902e72	feat	ready
feat/TC-520-telemetry-api-setup	4c9743842ce5f52982fb13d63b822639cde8f855	feat	ready
feat/TC-521-telemetry-run-endpoints	42df129681f640a34825f6b6eb6e0d78f96021e6	feat	ready
feat/TC-522-telemetry-batch-upload	3873ff3252a63a20a206af63ec1197f3287c1554	feat	ready
feat/TC-523-telemetry-metadata-endpoints	dc2734ed91f0a95f4385867d9d81961b5a3794f8	feat	ready
feat/TC-530-cli-entrypoints	82822633fb3ff660689ac6df3109a5736e3c924f	feat	ready
feat/TC-540-content-path-resolver	675b19d60a5706ff03c220e489dd5be323dd9779	feat	ready
feat/TC-550-hugo-config	a95bf2a4264fa7cec2c7e2da96281fe8bbc7ca60	feat	ready
feat/TC-560-determinism-harness	2fcb1d4285cd2a817012d5fa9d8962f598cd7577	feat	ready
feat/TC-570-extended-gates	2901e8378e0d1431e3733429f4d187a089a02ec1	feat	ready
feat/TC-571-perf-security-gates	c8dbee742457742787a2a732e566af80249d1405	feat	ready
feat/TC-580-observability	c4d15a015aab8ea6ded410867652dcd7a9b8ad24	feat	ready
feat/TC-590-security-handling	1450676e8de674817eae8c2f097dccce01d68b3e	feat	ready
feat/TC-600-failure-recovery	b3d52423ea46978662841fcaf8767637f70ab5ff	feat	ready
