branch	last_commit_date	commits_in_8d	ahead_of_main	behind_main	unmerged_in_8d
feat/TC-100-bootstrap-repo	2026-01-27 23:28:14 +0500	2	2	2	2
feat/TC-200-schemas-and-io	2026-01-27 23:47:34 +0500	5	5	2	5
feat/TC-201-emergency-mode	2026-01-28 00:03:43 +0500	8	8	2	8
feat/TC-250-shared-libs-governance	2026-01-28 00:19:52 +0500	10	10	2	10
feat/TC-300-orchestrator-langgraph	2026-01-28 00:39:25 +0500	12	12	2	12
feat/TC-400-repo-scout	2026-01-28 02:06:28 +0500	26	26	2	26
feat/TC-401-clone-resolve-shas	2026-01-28 01:13:18 +0500	18	18	2	18
feat/TC-402-fingerprint	2026-01-28 01:27:34 +0500	21	21	2	21
feat/TC-403-discover-docs	2026-01-28 01:39:26 +0500	22	22	2	22
feat/TC-404-discover-examples	2026-01-28 01:50:30 +0500	24	24	2	24
feat/TC-410-facts-builder	2026-01-28 02:55:28 +0500	34	34	2	34
feat/TC-411-extract-claims	2026-01-28 02:18:24 +0500	28	28	2	28
feat/TC-412-map-evidence	2026-01-28 02:31:06 +0500	30	30	2	30
feat/TC-413-detect-contradictions	2026-01-28 02:42:49 +0500	32	32	2	32
feat/TC-420-snippet-curator	2026-01-28 03:38:42 +0500	41	41	2	41
feat/TC-421-extract-doc-snippets	2026-01-28 03:09:25 +0500	37	37	2	37
feat/TC-422-extract-code-snippets	2026-01-28 03:24:33 +0500	39	39	2	39
feat/TC-430-ia-planner	2026-01-28 03:55:18 +0500	43	43	2	43
feat/TC-440-section-writer	2026-01-28 04:07:28 +0500	45	45	2	45
feat/TC-450-linker-and-patcher	2026-01-28 04:21:42 +0500	47	47	2	47
feat/TC-460-validator	2026-01-28 04:36:50 +0500	50	50	2	50
feat/TC-470-fixer	2026-01-28 05:21:17 +0500	55	55	2	55
feat/TC-480-pr-manager	2026-01-28 05:35:14 +0500	57	57	2	57
feat/TC-500-clients-services	2026-01-28 00:58:51 +0500	16	16	2	16
feat/TC-510-mcp-server-setup	2026-01-28 05:49:20 +0500	58	58	2	58
feat/TC-511-mcp-tool-registration	2026-01-28 06:09:41 +0500	59	59	2	59
feat/TC-512-mcp-tool-handlers	2026-01-28 06:23:21 +0500	60	60	2	60
feat/TC-520-telemetry-api-setup	2026-01-28 10:23:21 +0500	63	63	2	63
feat/TC-521-telemetry-run-endpoints	2026-01-28 10:39:49 +0500	64	64	2	64
feat/TC-522-telemetry-batch-upload	2026-01-28 10:54:28 +0500	65	65	2	65
feat/TC-523-telemetry-metadata-endpoints	2026-01-28 11:04:10 +0500	66	66	2	66
feat/TC-530-cli-entrypoints	2026-01-28 10:13:00 +0500	62	62	2	62
feat/TC-540-content-path-resolver	2026-01-28 11:20:26 +0500	69	69	2	69
feat/TC-550-hugo-config	2026-01-28 11:34:52 +0500	71	71	2	71
feat/TC-560-determinism-harness	2026-01-28 11:53:11 +0500	74	74	2	74
feat/TC-570-extended-gates	2026-01-28 04:57:30 +0500	52	52	2	52
feat/TC-571-perf-security-gates	2026-01-28 05:09:02 +0500	53	53	2	53
feat/TC-580-observability	2026-01-28 12:08:48 +0500	77	77	2	77
feat/TC-590-security-handling	2026-01-28 12:36:39 +0500	80	80	2	80
feat/TC-600-failure-recovery	2026-01-28 13:38:05 +0500	85	85	2	85
feat/golden-2pilots-20260130	2026-01-31 08:04:49 +0500	14	12	0	12
feat/golden-2pilots-20260201	2026-02-02 11:32:16 +0500	12	10	0	10
feat/pilot-e2e-golden-3d-20260129	2026-01-29 21:55:35 +0500	3	2	1	2
feat/pilot1-hardening-vfv-20260130	2026-01-30 14:56:55 +0500	2	1	1	1
feat/tc902_hygiene_20260201	2026-02-01 15:24:51 +0500	4	2	0	2
feat/tc902_w4_impl_20260201	2026-02-01 15:24:51 +0500	4	2	0	2
fix/env-gates-20260128-1615	2026-01-28 18:34:45 +0500	132	132	2	132
fix/main-green-20260128-1505	2026-01-28 15:31:42 +0500	129	129	2	129
fix/pilot1-w4-ia-planner-20260130	2026-01-29 21:55:35 +0500	3	2	1	2
impl/tc300-wire-orchestrator-20260128	2026-01-29 16:40:06 +0500	117	117	2	117
integrate/main-e2e-20260128-0837	2026-01-28 14:09:11 +0500	125	125	2	125
main	2026-01-30 22:05:39 +0500	2	0	0	0
origin	2026-01-29 16:47:09 +0500	1	0	1	0
origin/impl/tc300-wire-orchestrator-20260128	2026-01-29 16:40:06 +0500	117	117	2	117
